Trip_ID,RouteID,StopID,Timestamp,Mode of Transport,Distance Traveled (In Miles),Frequency(Per Week),Start Location,End Location,Fuel Type,Fuel Efficiency,Monthly Emissions (kg CO2)
T1,H30,17336,3/1/2024 0:00,Car,25,5,"Namakkal, Tamil Nadu, India","Madurai, Tamil Nadu, India",gasoline,21,209.52
T2,864,13926,3/1/2024 0:05,Car,22,4,"Madurai, Tamil Nadu, India","Vellore, Tamil Nadu, India",electric,28,110.63
T3,W91,14754,3/1/2024 0:10,Bike,18,4,"Madurai, Tamil Nadu, India","Coimbatore, Tamil Nadu, India",electric,22,115.2
T4,506,11011,3/1/2024 0:15,Car,19,4,"Tiruppur, Tamil Nadu, India","Namakkal, Tamil Nadu, India",gasoline,24,111.47
T5,144,13299,3/1/2024 0:20,Car,10,5,"Kanchipuram, Tamil Nadu, India","Tirunelveli, Tamil Nadu, India",electric,20,88.0
T6,725,17120,3/1/2024 0:25,Car,9,2,"Erode, Tamil Nadu, India","Salem, Tamil Nadu, India",electric,27,23.47
T7,286,16322,3/1/2024 0:30,Car,9,3,"Thoothukudi, Tamil Nadu, India","Erode, Tamil Nadu, India",electric,24,39.6
T8,G10,16275,3/1/2024 0:35,Car,13,4,"Chennai, Tamil Nadu, India","Dindigul, Tamil Nadu, India",gasoline,27,67.79
T9,157,12388,3/1/2024 0:40,Car,8,5,"Salem, Tamil Nadu, India","Erode, Tamil Nadu, India",gasoline,23,61.22
T10,177,13257,3/1/2024 0:45,Car,12,4,"Thoothukudi, Tamil Nadu, India","Salem, Tamil Nadu, India",electric,29,58.26
T11,224F,17962,3/1/2024 0:50,Bike,5,1,"Chennai, Tamil Nadu, India","Hosur, Tamil Nadu, India",electric,20,8.8
T12,507,11814,3/1/2024 0:55,Car,25,2,"Salem, Tamil Nadu, India","Thoothukudi, Tamil Nadu, India",gasoline,21,83.81
T13,262,14982,3/1/2024 1:00,Car,15,4,"Namakkal, Tamil Nadu, India","Cuddalore, Tamil Nadu, India",gasoline,23,91.83
T14,506,11434,3/1/2024 1:05,Car,25,3,"Thanjavur, Tamil Nadu, India","Kanchipuram, Tamil Nadu, India",gasoline,21,125.71
T15,171,13484,3/1/2024 1:10,Car,23,1,"Tiruchirappalli, Tamil Nadu, India","Madurai, Tamil Nadu, India",gasoline,22,36.8
T16,557,12169,3/1/2024 1:15,Car,18,3,"Vellore, Tamil Nadu, India","Kanchipuram, Tamil Nadu, India",gasoline,23,82.64
T17,209F,12149,3/1/2024 1:20,Car,14,2,"Vellore, Tamil Nadu, India","Karur, Tamil Nadu, India",electric,30,32.85
T18,600B,15328,3/1/2024 1:25,Car,16,2,"Erode, Tamil Nadu, India","Nagapattinam, Tamil Nadu, India",gasoline,23,48.97
T19,861,14040,3/1/2024 1:30,Bike,8,3,"Kanchipuram, Tamil Nadu, India","Coimbatore, Tamil Nadu, India",gasoline,26,32.49
T20,B10,12967,3/1/2024 1:35,Car,13,3,"Thoothukudi, Tamil Nadu, India","Salem, Tamil Nadu, India",electric,23,59.69
T21,300,12276,3/1/2024 1:40,Car,24,3,"Sivakasi, Tamil Nadu, India","Tiruppur, Tamil Nadu, India",electric,26,97.48
T22,404,10616,3/1/2024 1:45,Bike,14,5,"Karur, Tamil Nadu, India","Tiruchirappalli, Tamil Nadu, India",gasoline,26,94.77
T23,252,16291,3/1/2024 1:50,Car,23,5,"Dindigul, Tamil Nadu, India","Nagercoil, Tamil Nadu, India",electric,28,144.57
T24,254,11714,3/1/2024 1:55,Bike,23,1,"Tirunelveli, Tamil Nadu, India","Thanjavur, Tamil Nadu, India",gasoline,24,33.73
T25,H20,13371,3/1/2024 2:00,Car,15,1,"Nagercoil, Tamil Nadu, India","Chennai, Tamil Nadu, India",gasoline,21,25.14
T26,J2,13692,3/1/2024 2:05,Bike,21,2,"Nagercoil, Tamil Nadu, India","Chennai, Tamil Nadu, India",gasoline,26,56.86
T27,502,10650,3/1/2024 2:10,Car,13,5,"Thanjavur, Tamil Nadu, India","Salem, Tamil Nadu, India",gasoline,21,108.95
T28,170,13548,3/1/2024 2:15,Bike,23,5,"Kanchipuram, Tamil Nadu, India","Tirunelveli, Tamil Nadu, India",electric,25,161.92
T29,254,11587,3/1/2024 2:20,Bike,23,1,"Sivakasi, Tamil Nadu, India","Karur, Tamil Nadu, India",gasoline,25,32.38
T30,861,13338,3/1/2024 2:25,Car,13,5,"Salem, Tamil Nadu, India","Chennai, Tamil Nadu, India",electric,24,95.33
T31,G22,16289,3/1/2024 2:30,Bike,19,4,"Tirunelveli, Tamil Nadu, India","Hosur, Tamil Nadu, India",gasoline,23,116.31
T32,300,14076,3/1/2024 2:35,Car,24,2,"Cuddalore, Tamil Nadu, India","Tiruchirappalli, Tamil Nadu, India",electric,28,60.34
T33,248,14638,3/1/2024 2:40,Car,19,1,"Erode, Tamil Nadu, India","Chennai, Tamil Nadu, India",electric,27,24.77
T34,H20,13327,3/1/2024 2:45,Car,14,3,"Tiruppur, Tamil Nadu, India","Hosur, Tamil Nadu, India",gasoline,23,64.28
T35,118,11951,3/1/2024 2:50,Car,7,3,"Tirunelveli, Tamil Nadu, India","Hosur, Tamil Nadu, India",gasoline,24,30.8
T36,502,10918,3/1/2024 2:55,Car,20,1,"Namakkal, Tamil Nadu, India","Kanchipuram, Tamil Nadu, India",electric,28,25.14
T37,222,12467,3/1/2024 3:00,Car,9,4,"Erode, Tamil Nadu, India","Tirunelveli, Tamil Nadu, India",gasoline,30,42.24
T38,452,18170,3/1/2024 3:05,Car,18,1,"Tiruchirappalli, Tamil Nadu, India","Sivakasi, Tamil Nadu, India",electric,25,25.34
T39,722F,16014,3/1/2024 3:10,Car,16,2,"Cuddalore, Tamil Nadu, India","Karur, Tamil Nadu, India",electric,24,46.93
T40,157,12388,3/1/2024 3:15,Car,7,5,"Tirunelveli, Tamil Nadu, India","Nagercoil, Tamil Nadu, India",electric,27,45.63
T41,H30,12106,3/1/2024 3:20,Car,18,5,"Chennai, Tamil Nadu, India","Tirunelveli, Tamil Nadu, India",electric,27,117.33
T42,542X,11153,3/1/2024 3:25,Bike,17,5,"Thanjavur, Tamil Nadu, India","Dindigul, Tamil Nadu, India",gasoline,26,115.08
T43,167C,13712,3/1/2024 3:30,Car,5,1,"Tiruchirappalli, Tamil Nadu, India","Thoothukudi, Tamil Nadu, India",gasoline,30,5.87
T44,491,18321,3/1/2024 3:35,Bike,20,4,"Chennai, Tamil Nadu, India","Dindigul, Tamil Nadu, India",electric,30,93.87
T45,H22,16417,3/1/2024 3:40,Bike,8,4,"Dindigul, Tamil Nadu, India","Thanjavur, Tamil Nadu, India",electric,27,41.72
T46,263,14041,3/1/2024 3:45,Car,22,1,"Hosur, Tamil Nadu, India","Vellore, Tamil Nadu, India",gasoline,27,28.68
T47,G30,13554,3/1/2024 3:50,Car,16,4,"Thanjavur, Tamil Nadu, India","Nagapattinam, Tamil Nadu, India",gasoline,23,97.95
T48,H30,16453,3/1/2024 3:55,Car,21,2,"Namakkal, Tamil Nadu, India","Nagercoil, Tamil Nadu, India",electric,30,49.28
T49,545X,10872,3/1/2024 4:00,Car,22,1,"Vellore, Tamil Nadu, India","Coimbatore, Tamil Nadu, India",electric,29,26.7
