Weather_ID,Date and time,Summary,Temperature (C),Apparent Temperature (C),Humidity,Wind Speed (km/h),Wind Bearing (degrees),Visibility (km),Cloud Cover,Pressure (millibars)
W1,2024-03-01 00:00:00,Partly Cloudy,9.472222222,7.388888888888887,0.89,14.1197,251,15.826300000000002,0.795,1015.13
W2,2024-03-01 00:05:00,Partly Cloudy,9.355555555555558,7.227777777777776,0.86,14.2646,259,15.826300000000002,0.727,1015.63
W3,2024-03-01 00:10:00,Mostly Cloudy,9.377777777777778,9.377777777777778,0.89,3.9284,204,14.9569,0.817,1015.94
W4,2024-03-01 00:15:00,Partly Cloudy,8.288888889,5.944444444444446,0.83,14.1036,269,15.826300000000002,0.795,1016.41
W5,2024-03-01 00:20:00,Mostly Cloudy,8.755555555555553,6.977777777777779,0.83,11.0446,259,15.826300000000002,0.677,1016.51
W6,2024-03-01 00:25:00,Partly Cloudy,9.222222222,7.111111111,0.85,13.9587,258,14.9569,0.717,1016.66
W7,2024-03-01 00:30:00,Partly Cloudy,7.733333333333334,5.522222222222221,0.95,12.3648,259,9.982,0.864,1016.72
W8,2024-03-01 00:35:00,Partly Cloudy,8.772222222,6.527777777777778,0.89,14.1519,260,9.982,0.813,1016.84
W9,2024-03-01 00:40:00,Partly Cloudy,10.82222222222222,10.82222222222222,0.82,11.3183,259,9.982,0.781,1017.37
W10,2024-03-01 00:45:00,Partly Cloudy,13.77222222222222,13.77222222222222,0.72,12.525800000000002,279,9.982,0.687,1017.22
W11,2024-03-01 00:50:00,Partly Cloudy,16.016666666666666,16.016666666666666,0.67,17.5651,290,11.2056,0.715,1017.42
W12,2024-03-01 00:55:00,Partly Cloudy,17.144444444444446,17.144444444444446,0.54,19.7869,316,11.4471,0.64,1017.74
W13,2024-03-01 01:00:00,Partly Cloudy,17.800000000000004,17.800000000000004,0.55,21.9443,281,11.27,0.615,1017.59
W14,2024-03-01 01:05:00,Partly Cloudy,17.333333333333332,17.333333333333332,0.51,20.6885,289,11.27,0.639,1017.48
W15,2024-03-01 01:10:00,Partly Cloudy,18.87777777777778,18.87777777777778,0.47,15.375500000000002,262,11.4471,0.586,1017.17
W16,2024-03-01 01:15:00,Partly Cloudy,18.911111111111115,18.911111111111115,0.46,10.4006,288,11.27,0.53,1016.47
W17,2024-03-01 01:20:00,Partly Cloudy,15.38888888888889,15.38888888888889,0.6,14.4095,251,11.27,0.661,1016.15
W18,2024-03-01 01:25:00,Mostly Cloudy,15.550000000000002,15.550000000000002,0.63,11.1573,230,11.4471,0.621,1016.17
W19,2024-03-01 01:30:00,Mostly Cloudy,14.255555555555553,14.255555555555553,0.69,8.5169,163,11.2056,0.731,1015.82
W20,2024-03-01 01:35:00,Mostly Cloudy,13.144444444444442,13.144444444444442,0.7,7.631400000000001,139,11.2056,0.703,1015.83
W21,2024-03-01 01:40:00,Mostly Cloudy,11.55,11.55,0.77,7.3899,147,11.0285,0.739,1015.85
W22,2024-03-01 01:45:00,Mostly Cloudy,11.183333333333334,11.183333333333334,0.76,4.9266000000000005,160,9.982,0.723,1015.77
W23,2024-03-01 01:50:00,Partly Cloudy,10.116666666666667,10.116666666666667,0.79,6.6493,163,15.826300000000002,0.778,1015.4
W24,2024-03-01 01:55:00,Mostly Cloudy,10.2,10.2,0.77,3.9284,152,14.9569,0.718,1015.51
W25,2024-03-01 02:00:00,Partly Cloudy,10.42222222222222,10.42222222222222,0.62,16.985500000000002,150,15.826300000000002,0.626,1014.4
W26,2024-03-01 02:05:00,Partly Cloudy,9.911111111111111,7.566666666666666,0.66,17.2109,149,15.826300000000002,0.652,1014.2
W27,2024-03-01 02:10:00,Mostly Cloudy,11.183333333333334,11.183333333333334,0.8,10.8192,163,14.9569,0.758,1008.71
W28,2024-03-01 02:15:00,Partly Cloudy,7.155555555555556,5.044444444444443,0.79,11.0768,180,15.826300000000002,0.756,1014.47
W29,2024-03-01 02:20:00,Partly Cloudy,6.111111111111111,4.816666666666667,0.82,6.6493,161,15.826300000000002,0.776,1014.45
W30,2024-03-01 02:25:00,Partly Cloudy,6.788888888888888,4.272222222222221,0.83,13.0088,135,14.9569,0.786,1014.49
W31,2024-03-01 02:30:00,Mostly Cloudy,7.261111111,5.155555555555556,0.85,11.1734,141,6.1985,0.923,1014.52
W32,2024-03-01 02:35:00,Mostly Cloudy,7.799999999999999,5.527777778,0.83,12.8156,150,8.05,0.796,1014.16
W33,2024-03-01 02:40:00,Mostly Cloudy,9.872222222222224,7.933333333333334,0.78,13.7494,160,9.982,0.746,1014.24
W34,2024-03-01 02:45:00,Mostly Cloudy,12.22222222222222,12.22222222222222,0.72,15.633100000000002,150,9.982,0.694,1014.25
W35,2024-03-01 02:50:00,Mostly Cloudy,15.094444444444449,15.094444444444449,0.61,17.549000000000003,151,9.982,0.686,1013.96
W36,2024-03-01 02:55:00,Mostly Cloudy,17.355555555555558,17.355555555555558,0.52,22.7815,169,9.982,0.654,1013.85
W37,2024-03-01 03:00:00,Mostly Cloudy,19.00555555555555,19.00555555555555,0.46,23.8924,169,9.982,0.568,1013.04
W38,2024-03-01 03:05:00,Mostly Cloudy,20.04444444444444,20.04444444444444,0.4,28.3682,170,9.982,0.506,1012.22
W39,2024-03-01 03:10:00,Mostly Cloudy,21.05,21.05,0.4,26.9031,187,10.3523,0.501,1011.44
W40,2024-03-01 03:15:00,Mostly Cloudy,21.18333333333333,21.18333333333333,0.37,25.6956,179,9.982,0.547,1010.52
W41,2024-03-01 03:20:00,Mostly Cloudy,20.11666666666666,20.11666666666666,0.4,25.309200000000004,162,9.982,0.569,1009.83
W42,2024-03-01 03:25:00,Mostly Cloudy,20.216666666666665,20.216666666666665,0.36,18.1125,161,10.3523,0.539,1009.26
W43,2024-03-01 03:30:00,Mostly Cloudy,20.0,20.0,0.43,23.425500000000003,160,9.982,0.529,1008.76
W44,2024-03-01 03:35:00,Mostly Cloudy,17.800000000000004,17.800000000000004,0.5,20.0445,150,11.2056,0.599,1008.36
W45,2024-03-01 03:40:00,Mostly Cloudy,16.06111111111111,16.06111111111111,0.53,21.3969,149,9.982,0.624,1008.11
W46,2024-03-01 03:45:00,Mostly Cloudy,15.02222222222222,15.02222222222222,0.55,21.3808,159,9.982,0.642,1008.15
W47,2024-03-01 03:50:00,Overcast,14.422222222222224,14.422222222222224,0.58,20.0123,159,15.826300000000002,0.811,1007.85
W48,2024-03-01 03:55:00,Overcast,14.255555555555553,14.255555555555553,0.59,16.5025,168,14.9569,0.797,1007.89
W49,2024-03-01 04:00:00,Overcast,13.77222222222222,13.77222222222222,0.6,17.0982,160,15.826300000000002,0.816,1007.36
W50,2024-03-01 04:05:00,Overcast,13.283333333333331,13.283333333333331,0.63,14.3612,160,15.826300000000002,0.808,1007.26
W51,2024-03-01 04:10:00,Overcast,8.633333333333333,5.466666666666669,0.87,22.0409,32,6.6976,1.0,1005.1
W52,2024-03-01 04:15:00,Overcast,11.25,11.25,0.83,11.3344,152,15.826300000000002,0.938,1007.01
W53,2024-03-01 04:20:00,Overcast,11.183333333333334,11.183333333333334,0.89,11.2056,180,9.9015,0.926,1006.73
W54,2024-03-01 04:25:00,Overcast,10.694444444444445,10.694444444444445,0.95,10.4006,161,6.6976,1.0,1006.59
W55,2024-03-01 04:30:00,Mostly Cloudy,11.11111111111111,11.11111111111111,0.93,12.0106,140,5.9731000000000005,0.846,1006.34
W56,2024-03-01 04:35:00,Mostly Cloudy,11.11111111111111,11.11111111111111,0.93,9.2092,103,10.8031,0.806,1006.09
W57,2024-03-01 04:40:00,Partly Cloudy,12.166666666666666,12.166666666666666,0.82,9.9015,113,10.6743,0.763,1005.97
W58,2024-03-01 04:45:00,Partly Cloudy,12.755555555555556,12.755555555555556,0.79,13.8299,129,10.8192,0.815,1005.63
W59,2024-03-01 04:50:00,Partly Cloudy,13.838888888888889,13.838888888888889,0.84,9.0965,159,10.8192,0.742,1005.83
W60,2024-03-01 04:55:00,Partly Cloudy,16.183333333333334,16.183333333333334,0.73,0.6440000000000001,207,10.7548,0.753,1005.97
W61,2024-03-01 05:00:00,Mostly Cloudy,17.516666666666666,17.516666666666666,0.67,0.6762,153,10.8997,0.611,1005.64
W62,2024-03-01 05:05:00,Mostly Cloudy,17.383333333333333,17.383333333333333,0.67,3.864,4,10.851400000000002,0.666,1005.2
W63,2024-03-01 05:10:00,Mostly Cloudy,17.36111111111111,17.36111111111111,0.71,7.824600000000001,341,11.0768,0.704,1005.1
W64,2024-03-01 05:15:00,Mostly Cloudy,17.205555555555556,17.205555555555556,0.74,15.5848,15,10.851400000000002,0.738,1004.65
W65,2024-03-01 05:20:00,Mostly Cloudy,15.633333333333333,15.633333333333333,0.81,23.6992,348,10.8836,0.784,1004.04
W66,2024-03-01 05:25:00,Overcast,13.577777777777776,13.577777777777776,0.9,20.9622,321,7.615300000000001,1.0,1004.08
W67,2024-03-01 05:30:00,Foggy,10.911111111111111,10.911111111111111,0.86,22.395100000000003,311,2.6565,0.84,1004.61
W68,2024-03-01 05:35:00,Foggy,8.800000000000002,5.294444444444445,0.99,26.5006,339,2.6565,0.91,1004.99
W69,2024-03-01 05:40:00,Overcast,8.961111111111112,5.777777777777777,0.93,23.2162,340,3.815700000000001,1.0,1004.85
W70,2024-03-01 05:45:00,Overcast,8.199999999999998,4.605555555555555,0.96,25.4219,330,4.4919,1.0,1004.96
W71,2024-03-01 05:50:00,Overcast,7.688888888888891,3.722222222222224,0.96,28.1267,339,4.4436,1.0,1005.14
W72,2024-03-01 05:55:00,Overcast,7.766666666666664,4.649999999999999,0.96,19.2878,339,5.6833,1.0,1005.05
W73,2024-03-01 06:00:00,Foggy,8.199999999999998,5.072222222222224,0.96,20.447,341,3.1073,0.876,1004.8
W74,2024-03-01 06:05:00,Foggy,8.177777777777777,4.372222222222221,0.93,27.8691,19,3.2039,0.917,1004.89
W75,2024-03-01 06:10:00,Mostly Cloudy,7.311111111111109,6.183333333333335,0.82,6.745900000000001,277,14.0553,0.774,1007.0
W76,2024-03-01 06:15:00,Overcast,7.644444444444442,5.038888888888889,0.93,14.9086,9,6.118,1.0,1004.3
W77,2024-03-01 06:20:00,Overcast,6.622222222222224,2.616666666666667,0.93,25.035500000000003,0,6.118,1.0,1003.68
W78,2024-03-01 06:25:00,Overcast,6.683333333333334,3.2222222222222205,0.93,19.8352,350,6.166300000000001,1.0,1003.86
W79,2024-03-01 06:30:00,Overcast,6.0888888888888895,1.6499999999999997,0.93,28.0945,349,7.969500000000001,1.0,1003.57
W80,2024-03-01 06:35:00,Overcast,6.066666666666667,1.633333333333332,0.93,27.9818,348,6.3434,1.0,1003.96
W81,2024-03-01 06:40:00,Breezy and Mostly Cloudy,6.144444444444446,1.4944444444444431,0.93,30.863700000000005,349,10.5455,0.873,1004.1
W82,2024-03-01 06:45:00,Breezy and Mostly Cloudy,7.133333333333336,2.688888888888891,0.8,32.1678,349,11.2056,0.755,1004.26
W83,2024-03-01 06:50:00,Overcast,7.205555555555555,3.2333333333333334,0.86,26.5328,339,11.27,0.963,1004.18
W84,2024-03-01 06:55:00,Mostly Cloudy,7.566666666666666,3.544444444444446,0.84,28.33600000000001,339,10.5455,0.789,1004.23
W85,2024-03-01 07:00:00,Mostly Cloudy,8.900000000000002,5.161111111111111,0.77,29.833300000000005,348,11.27,0.711,1004.47
W86,2024-03-01 07:05:00,Mostly Cloudy,9.961111111111112,6.644444444444445,0.71,28.480900000000005,339,11.27,0.745,1004.52
W87,2024-03-01 07:10:00,Mostly Cloudy,9.888888888888888,6.55,0.71,28.5131,338,11.0768,0.708,1004.29
W88,2024-03-01 07:15:00,Mostly Cloudy,11.066666666666668,11.066666666666668,0.71,25.6956,320,11.27,0.719,1003.93
W89,2024-03-01 07:20:00,Overcast,10.116666666666667,10.116666666666667,0.76,25.3414,311,11.27,0.933,1004.0
W90,2024-03-01 07:25:00,Overcast,11.038888888888888,11.038888888888888,0.66,21.413000000000004,311,9.982,0.887,1004.3
W91,2024-03-01 07:30:00,Overcast,10.65,10.65,0.7,17.8549,310,14.9086,0.883,1004.0
W92,2024-03-01 07:35:00,Overcast,10.050000000000002,10.050000000000002,0.7,15.1984,328,9.982,0.889,1004.39
W93,2024-03-01 07:40:00,Mostly Cloudy,9.9,7.716666666666667,0.66,15.7297,348,11.0285,0.684,1005.48
W94,2024-03-01 07:45:00,Overcast,8.794444444444444,6.816666666666668,0.71,12.3648,20,9.982,0.9,1005.89
W95,2024-03-01 07:50:00,Mostly Cloudy,7.827777777777779,5.405555555555554,0.72,13.894300000000005,28,15.826300000000002,0.638,1006.37
W96,2024-03-01 07:55:00,Overcast,7.855555555555556,6.122222222222224,0.72,9.8049,11,15.005200000000002,0.819,1006.56
W97,2024-03-01 08:00:00,Mostly Cloudy,7.316666666666667,6.211111111111111,0.75,6.6654,326,15.8746,0.668,1007.07
W98,2024-03-01 08:05:00,Overcast,7.244444444444444,6.005555555555556,0.75,7.1162,309,15.8746,0.848,1007.37
W99,2024-03-01 08:10:00,Partly Cloudy,5.438888888888888,5.438888888888888,0.88,3.719100000000001,193,9.982,0.847,1012.23
W100,2024-03-01 08:15:00,Overcast,7.200000000000001,4.549999999999999,0.76,14.4739,273,15.826300000000002,0.858,1007.28
W101,2024-03-01 08:20:00,Overcast,6.688888888888888,3.1611111111111097,0.7,20.5275,300,15.826300000000002,0.852,1007.18
W102,2024-03-01 08:25:00,Overcast,6.211111111111111,2.694444444444445,0.73,19.3039,309,14.9569,0.941,1007.39
W103,2024-03-01 08:30:00,Overcast,6.111111111111111,2.7999999999999994,0.76,17.436300000000003,300,9.982,0.925,1007.67
W104,2024-03-01 08:35:00,Overcast,6.111111111111111,2.438888888888889,0.76,20.4148,300,9.982,0.969,1007.98
W105,2024-03-01 08:40:00,Overcast,6.172222222222222,2.922222222222221,0.76,17.0499,307,9.982,0.901,1008.57
W106,2024-03-01 08:45:00,Overcast,7.222222222222222,3.8333333333333326,0.71,20.5114,319,9.982,0.902,1008.87
W107,2024-03-01 08:50:00,Overcast,7.288888888888888,4.2444444444444445,0.73,17.6456,328,9.982,0.881,1009.44
W108,2024-03-01 08:55:00,Overcast,7.405555555555555,4.816666666666667,0.72,14.4095,318,9.982,0.9,1010.03
W109,2024-03-01 09:00:00,Overcast,7.961111111,6.072222222222222,0.7,10.7548,321,10.0464,0.934,1010.22
W110,2024-03-01 09:05:00,Overcast,8.033333333333335,7.583333333333333,0.7,4.8622000000000005,349,10.0464,0.83,1010.39
W111,2024-03-01 09:10:00,Overcast,9.077777778,9.077777778,0.65,2.3828,348,10.0303,0.887,1010.24
W112,2024-03-01 09:15:00,Overcast,9.05,9.05,0.62,0.322,243,9.982,0.865,1010.0
W113,2024-03-01 09:20:00,Overcast,9.05,9.05,0.65,3.2522,177,11.2056,0.838,1009.98
W114,2024-03-01 09:25:00,Overcast,9.183333333333334,9.183333333333334,0.65,3.0107000000000004,170,11.0285,0.805,1010.05
W115,2024-03-01 09:30:00,Overcast,9.072222222,7.455555555555557,0.7,10.465,172,9.982,0.899,1010.1
W116,2024-03-01 09:35:00,Overcast,7.983333333333332,6.811111111,0.75,7.3416,172,9.982,0.904,1010.39
W117,2024-03-01 09:40:00,Overcast,8.072222222222223,6.433333333333333,0.75,9.5151,150,9.982,0.934,1010.91
W118,2024-03-01 09:45:00,Overcast,7.894444444444446,6.127777777777778,0.82,9.9981,142,9.982,0.962,1011.32
W119,2024-03-01 09:50:00,Overcast,7.311111111111109,4.8055555555555545,0.83,13.685,141,11.9784,1.0,1011.61
W120,2024-03-01 09:55:00,Mostly Cloudy,7.338888889,5.183333333333333,0.84,11.5437,141,14.168000000000005,0.768,1011.97
W121,2024-03-01 10:00:00,Mostly Cloudy,6.622222222222224,4.111111111111111,0.85,12.719,142,14.9086,0.739,1012.22
W122,2024-03-01 10:05:00,Partly Cloudy,6.066666666666667,3.4111111111111114,0.88,12.8961,130,14.9086,0.804,1012.74
W123,2024-03-01 10:10:00,Partly Cloudy,8.338888888888887,8.338888888888887,0.88,0.6923,359,15.005200000000002,0.794,1015.35
W124,2024-03-01 10:15:00,Mostly Cloudy,5.183333333333333,4.111111111111111,0.91,5.5384,166,9.982,0.902,1013.29
W125,2024-03-01 10:20:00,Mostly Cloudy,3.722222222222224,2.566666666666665,0.94,5.2003,145,9.982,0.901,1013.39
W126,2024-03-01 10:25:00,Mostly Cloudy,4.855555555555557,3.7055555555555566,0.93,5.618900000000001,170,5.9248,0.901,1013.45
W127,2024-03-01 10:30:00,Foggy,5.211111111111112,5.211111111111112,0.92,4.7656,178,1.2236,0.971,1013.4
W128,2024-03-01 10:35:00,Overcast,6.255555555555555,4.638888888888889,0.92,7.921200000000001,223,7.212800000000001,0.987,1013.81
W129,2024-03-01 10:40:00,Mostly Cloudy,7.794444444444445,6.0555555555555545,0.87,9.7566,240,10.6743,0.788,1014.7
W130,2024-03-01 10:45:00,Mostly Cloudy,10.050000000000002,10.050000000000002,0.76,9.6922,231,11.2056,0.709,1014.67
W131,2024-03-01 10:50:00,Mostly Cloudy,12.2,12.2,0.66,14.49,230,9.982,0.681,1014.66
W132,2024-03-01 10:55:00,Mostly Cloudy,12.7,12.7,0.63,20.3343,214,11.0285,0.618,1014.8
W133,2024-03-01 11:00:00,Partly Cloudy,13.933333333333332,13.933333333333332,0.58,23.5865,222,11.27,0.667,1014.47
W134,2024-03-01 11:05:00,Partly Cloudy,15.094444444444449,15.094444444444449,0.59,22.2985,241,11.27,0.634,1014.16
W135,2024-03-01 11:10:00,Mostly Cloudy,15.150000000000002,15.150000000000002,0.5,14.715400000000002,235,11.4471,0.538,1014.07
W136,2024-03-01 11:15:00,Partly Cloudy,16.177777777777777,16.177777777777777,0.44,14.49,238,11.27,0.523,1013.34
W137,2024-03-01 11:20:00,Partly Cloudy,16.25,16.25,0.55,14.715400000000002,211,11.27,0.631,1012.72
W138,2024-03-01 11:25:00,Partly Cloudy,16.29444444444444,16.29444444444444,0.5,19.5937,221,11.4471,0.626,1012.38
W139,2024-03-01 11:30:00,Partly Cloudy,16.099999999999998,16.099999999999998,0.56,14.828100000000004,215,11.125100000000002,0.705,1012.38
W140,2024-03-01 11:35:00,Partly Cloudy,12.955555555555556,12.955555555555556,0.68,11.9784,224,11.27,0.812,1012.72
W141,2024-03-01 11:40:00,Mostly Cloudy,13.85,13.85,0.64,11.5598,231,11.4471,0.688,1013.42
W142,2024-03-01 11:45:00,Mostly Cloudy,12.77777777777778,12.77777777777778,0.69,14.2485,358,10.0464,0.67,1014.41
W143,2024-03-01 11:50:00,Mostly Cloudy,12.15,12.15,0.72,11.253900000000002,8,15.8746,0.601,1014.89
W144,2024-03-01 11:55:00,Mostly Cloudy,10.677777777777775,10.677777777777775,0.81,5.7799000000000005,59,15.005200000000002,0.753,1014.91
W145,2024-03-01 12:00:00,Mostly Cloudy,10.444444444444445,10.444444444444445,0.83,2.6404,63,15.8746,0.715,1014.75
W146,2024-03-01 12:05:00,Mostly Cloudy,9.822222222222225,9.466666666666663,0.8,5.313,65,15.8746,0.718,1015.55
W147,2024-03-01 12:10:00,Mostly Cloudy,11.02777777777778,11.02777777777778,0.74,11.382700000000002,146,14.9569,0.682,1015.7
W148,2024-03-01 12:15:00,Mostly Cloudy,7.138888888888889,7.138888888888889,0.93,3.6547,305,14.9086,0.81,1016.43
W149,2024-03-01 12:20:00,Mostly Cloudy,7.622222222222222,5.644444444444442,0.89,10.8675,327,14.9086,0.838,1016.56
W150,2024-03-01 12:25:00,Mostly Cloudy,7.627777777777775,6.611111111111111,0.86,6.5205,319,13.3791,0.796,1017.15
W151,2024-03-01 12:30:00,Mostly Cloudy,7.044444444444444,4.855555555555557,0.86,11.3988,271,9.982,0.81,1017.37
W152,2024-03-01 12:35:00,Partly Cloudy,8.599999999999998,7.038888889,0.84,9.66,297,9.982,0.759,1018.25
W153,2024-03-01 12:40:00,Partly Cloudy,9.65,7.383333333333332,0.84,15.955100000000002,289,9.982,0.73,1019.24
W154,2024-03-01 12:45:00,Partly Cloudy,12.105555555555554,12.105555555555554,0.72,13.1698,310,9.982,0.707,1019.83
W155,2024-03-01 12:50:00,Partly Cloudy,12.77777777777778,12.77777777777778,0.71,13.1698,301,11.2056,0.708,1020.51
W156,2024-03-01 12:55:00,Partly Cloudy,13.81111111111111,13.81111111111111,0.65,9.6761,307,11.4471,0.746,1020.91
W157,2024-03-01 13:00:00,Partly Cloudy,16.016666666666666,16.016666666666666,0.48,11.237800000000002,307,11.27,0.589,1020.6
W158,2024-03-01 13:05:00,Partly Cloudy,17.127777777777776,17.127777777777776,0.47,12.7029,308,11.27,0.614,1020.39
W159,2024-03-01 13:10:00,Partly Cloudy,17.144444444444446,17.144444444444446,0.43,10.6099,279,11.4471,0.533,1020.34
W160,2024-03-01 13:15:00,Mostly Cloudy,17.77777777777778,17.77777777777778,0.4,7.953400000000001,272,11.2056,0.49,1019.7
W161,2024-03-01 13:20:00,Mostly Cloudy,17.77777777777778,17.77777777777778,0.37,2.5921000000000003,351,11.2056,0.484,1018.89
W162,2024-03-01 13:25:00,Mostly Cloudy,17.805555555555557,17.805555555555557,0.43,11.0124,175,10.3523,0.53,1018.48
W163,2024-03-01 13:30:00,Mostly Cloudy,16.15555555555555,16.15555555555555,0.52,9.1931,172,9.982,0.697,1017.87
W164,2024-03-01 13:35:00,Mostly Cloudy,14.05,14.05,0.63,9.160900000000002,160,9.982,0.642,1017.56
W165,2024-03-01 13:40:00,Mostly Cloudy,13.08888888888889,13.08888888888889,0.67,9.2736,138,9.982,0.732,1017.38
W166,2024-03-01 13:45:00,Mostly Cloudy,12.288888888888888,12.288888888888888,0.72,9.4507,141,9.982,0.69,1017.58
W167,2024-03-01 13:50:00,Overcast,12.77777777777778,12.77777777777778,0.66,11.0768,141,15.826300000000002,0.858,1017.65
W168,2024-03-01 13:55:00,Overcast,12.727777777777776,12.727777777777776,0.67,13.3791,149,14.9569,0.847,1017.36
