Transit_ID,City,State,Route_ID,Transport_Mode,Source,Destination,Passenger_Count,Demand,Vehicle_Capacity,Traffic_Status,Traffic_Speed_kmh,Delay_Minutes,Fare_INR,Travel_Time_Min,Weather_Condition,Date,On_Time,On_Time_Status,Point,Path_Order,Latitude,Longitude
TR-0149,Kolkata,West Bengal,R-001,Metro,Central,East,43,High,998,Moderate,30,1,11.99,56.98,Hazy,2026-06-26 20:28:00,1,On Time,Source,1,22.573951,88.36924
TR-0287,Lucknow,Uttar Pradesh,R-001,Metro,North,West,207,High,979,High,20,10,44.56,29.44,Hazy,2026-07-16 16:07:00,0,Delayed,Source,1,26.908747,80.953732
TR-0427,Visakhapatnam,Andhra Pradesh,R-001,Bus,South,North,408,Medium,76,High,25,24,91.38,38.12,Rain,2026-07-03 16:07:00,0,Delayed,Source,1,17.623708,83.218263
TR-0149,Kolkata,West Bengal,R-001,Metro,Central,East,,,,Moderate,,,,,Hazy,2026-06-26 20:28:00,,,Destination,2,22.557495,88.435854
TR-0287,Lucknow,Uttar Pradesh,R-001,Metro,North,West,,,,High,,,,,Hazy,2026-07-16 16:07:00,,,Destination,2,26.837694,80.882462
TR-0427,Visakhapatnam,Andhra Pradesh,R-001,Bus,South,North,,,,High,,,,,Rain,2026-07-03 16:07:00,,,Destination,2,17.735649,83.226252
TR-0224,Delhi,Delhi,R-002,Train,West,Central,451,Low,1524,Moderate,43,24,32.1,49.68,Hazy,2026-03-22 16:52:00,0,Delayed,Source,1,28.619453,77.140714
TR-0230,Kochi,Kerala,R-002,Metro,Central,South,895,High,696,Moderate,34,11,78.6,37.54,Hazy,2026-05-05 18:10:00,0,Delayed,Source,1,9.932051,76.256548
TR-0262,Chennai,Tamil Nadu,R-002,Bus,West,South,583,Medium,48,Low,65,19,10.62,30.69,Clear,2026-04-09 06:57:00,0,Delayed,Source,1,13.068857,80.204941
TR-0271,Indore,Madhya Pradesh,R-002,Auto,East,South,53,Medium,3,Moderate,38,23,10.64,42.41,Rain,2026-01-26 02:57:00,0,Delayed,Source,1,22.71303,75.907177
TR-0303,Ahmedabad,Gujarat,R-002,Bus,West,Central,575,Medium,63,High,16,5,30.41,38.11,Cloudy,2026-03-08 23:10:00,1,On Time,Source,1,23.026682,72.524107
TR-0400,Nagpur,Maharashtra,R-002,Bus,East,West,597,High,42,High,17,11,27.68,18.83,Cloudy,2026-01-28 21:09:00,0,Delayed,Source,1,21.13554,79.136154
TR-0224,Delhi,Delhi,R-002,Train,West,Central,,,,Moderate,,,,,Hazy,2026-03-22 16:52:00,,,Destination,2,28.609514,77.207184
TR-0230,Kochi,Kerala,R-002,Metro,Central,South,,,,Moderate,,,,,Hazy,2026-05-05 18:10:00,,,Destination,2,9.883161,76.263821
TR-0262,Chennai,Tamil Nadu,R-002,Bus,West,South,,,,Low,,,,,Clear,2026-04-09 06:57:00,,,Destination,2,13.0191,80.252439
TR-0271,Indore,Madhya Pradesh,R-002,Auto,East,South,,,,Moderate,,,,,Rain,2026-01-26 02:57:00,,,Destination,2,22.666423,75.847822
TR-0303,Ahmedabad,Gujarat,R-002,Bus,West,Central,,,,High,,,,,Cloudy,2026-03-08 23:10:00,,,Destination,2,23.018094,72.5692
TR-0400,Nagpur,Maharashtra,R-002,Bus,East,West,,,,High,,,,,Cloudy,2026-01-28 21:09:00,,,Destination,2,21.129802,79.023847
TR-0101,Lucknow,Uttar Pradesh,R-003,Auto,Central,South,531,Medium,3,Low,58,9,72.94,51.17,Clear,2026-03-12 13:08:00,0,Delayed,Source,1,26.839832,80.930348
TR-0286,Bengaluru,Karnataka,R-003,Bus,South,West,348,High,49,High,29,4,97.73,51.34,Cloudy,2026-07-23 21:05:00,1,On Time,Source,1,12.928071,77.586264
TR-0333,Surat,Gujarat,R-003,E-Rickshaw,North,East,601,Medium,5,Severe,13,16,68.79,24.2,Cloudy,2026-01-02 08:55:00,0,Delayed,Source,1,21.225445,72.823512
TR-0101,Lucknow,Uttar Pradesh,R-003,Auto,Central,South,,,,Low,,,,,Clear,2026-03-12 13:08:00,,,Destination,2,26.788841,80.924035
TR-0286,Bengaluru,Karnataka,R-003,Bus,South,West,,,,High,,,,,Cloudy,2026-07-23 21:05:00,,,Destination,2,12.949883,77.525123
TR-0333,Surat,Gujarat,R-003,E-Rickshaw,North,East,,,,Severe,,,,,Cloudy,2026-01-02 08:55:00,,,Destination,2,21.158971,72.890501
TR-0208,Hyderabad,Telangana,R-004,Metro,South,East,624,Medium,1120,High,29,16,11.81,13.46,Hazy,2026-03-10 22:04:00,0,Delayed,Source,1,17.336723,78.466975
TR-0280,Bengaluru,Karnataka,R-004,Metro,North,Central,963,Medium,770,High,24,21,93.99,40.06,Cloudy,2026-04-25 10:27:00,0,Delayed,Source,1,13.030016,77.616732
TR-0335,Nagpur,Maharashtra,R-004,Auto,South,East,243,Low,3,High,27,26,27.55,57.83,Rain,2026-04-22 19:35:00,0,Delayed,Source,1,21.086112,79.080401
TR-0208,Hyderabad,Telangana,R-004,Metro,South,East,,,,High,,,,,Hazy,2026-03-10 22:04:00,,,Destination,2,17.403972,78.553084
TR-0280,Bengaluru,Karnataka,R-004,Metro,North,Central,,,,High,,,,,Cloudy,2026-04-25 10:27:00,,,Destination,2,12.96469,77.598686
TR-0335,Nagpur,Maharashtra,R-004,Auto,South,East,,,,High,,,,,Rain,2026-04-22 19:35:00,,,Destination,2,21.148902,79.1358
TR-0114,Jaipur,Rajasthan,R-005,Bus,West,East,88,High,60,High,26,16,71.27,30.67,Cloudy,2026-01-12 05:16:00,0,Delayed,Source,1,26.896816,75.731029
TR-0190,Mumbai,Maharashtra,R-005,Auto,West,East,871,Very High,3,Low,47,8,59.78,49.67,Rain,2026-01-22 01:44:00,0,Delayed,Source,1,19.056878,72.826146
TR-0322,Nagpur,Maharashtra,R-005,Bus,East,South,726,Low,64,High,15,8,93.69,31.61,Cloudy,2026-04-04 17:15:00,0,Delayed,Source,1,21.169315,79.150987
TR-0329,Jaipur,Rajasthan,R-005,Bus,East,South,701,High,78,Severe,14,22,49.48,46.82,Hazy,2026-08-04 01:56:00,0,Delayed,Source,1,26.931958,75.851854
TR-0373,Delhi,Delhi,R-005,Metro,West,South,289,High,1145,Moderate,39,25,20.3,21.8,Rain,2026-03-04 14:24:00,0,Delayed,Source,1,28.602913,77.157677
TR-0385,Lucknow,Uttar Pradesh,R-005,Auto,West,North,155,Medium,3,Moderate,35,12,37.78,12.17,Rain,2026-07-01 10:52:00,0,Delayed,Source,1,26.828846,80.866606
TR-0428,Lucknow,Uttar Pradesh,R-005,E-Rickshaw,East,Central,606,Very High,5,Moderate,37,28,66.94,58.68,Cloudy,2026-03-11 13:42:00,0,Delayed,Source,1,26.859945,81.01194
TR-0114,Jaipur,Rajasthan,R-005,Bus,West,East,,,,High,,,,,Cloudy,2026-01-12 05:16:00,,,Destination,2,26.954132,75.824264
TR-0190,Mumbai,Maharashtra,R-005,Auto,West,East,,,,Low,,,,,Rain,2026-01-22 01:44:00,,,Destination,2,19.104422,72.924817
TR-0322,Nagpur,Maharashtra,R-005,Bus,East,South,,,,High,,,,,Cloudy,2026-04-04 17:15:00,,,Destination,2,21.110485,79.064022
TR-0329,Jaipur,Rajasthan,R-005,Bus,East,South,,,,Severe,,,,,Hazy,2026-08-04 01:56:00,,,Destination,2,26.859199,75.778741
TR-0373,Delhi,Delhi,R-005,Metro,West,South,,,,Moderate,,,,,Rain,2026-03-04 14:24:00,,,Destination,2,28.553647,77.201184
TR-0385,Lucknow,Uttar Pradesh,R-005,Auto,West,North,,,,Moderate,,,,,Rain,2026-07-01 10:52:00,,,Destination,2,26.906182,80.973665
TR-0428,Lucknow,Uttar Pradesh,R-005,E-Rickshaw,East,Central,,,,Moderate,,,,,Cloudy,2026-03-11 13:42:00,,,Destination,2,26.831361,80.942758
TR-0030,Nagpur,Maharashtra,R-006,Auto,West,East,133,High,3,High,22,19,68.13,36.39,Hazy,2026-02-28 12:05:00,0,Delayed,Source,1,21.128041,79.020221
TR-0059,Surat,Gujarat,R-006,E-Rickshaw,South,West,114,High,5,High,21,8,94.26,7.86,Hazy,2026-02-10 17:11:00,0,Delayed,Source,1,21.127478,72.822199
TR-0144,Visakhapatnam,Andhra Pradesh,R-006,Auto,Central,East,411,High,3,High,17,10,58.45,19.79,Hazy,2026-04-07 21:36:00,0,Delayed,Source,1,17.683553,83.229211
TR-0151,Bengaluru,Karnataka,R-006,Metro,West,Central,163,Low,1147,Moderate,31,11,26.36,45.87,Rain,2026-04-26 16:44:00,0,Delayed,Source,1,12.97413,77.577063
TR-0179,Nagpur,Maharashtra,R-006,Train,East,Central,757,Medium,1618,Moderate,36,9,85.98,31.62,Hazy,2026-07-20 04:09:00,0,Delayed,Source,1,21.140568,79.16363
TR-0228,Nagpur,Maharashtra,R-006,Auto,East,South,923,High,3,High,30,12,90.77,11.57,Hazy,2026-06-29 21:29:00,0,Delayed,Source,1,21.167324,79.14875
TR-0347,Visakhapatnam,Andhra Pradesh,R-006,Bus,North,West,481,High,72,Moderate,37,8,85.6,44.87,Cloudy,2026-06-26 17:00:00,0,Delayed,Source,1,17.744678,83.234336
TR-0387,Indore,Madhya Pradesh,R-006,Train,North,West,576,Medium,1547,High,19,22,29.81,20.51,Hazy,2026-05-28 12:39:00,0,Delayed,Source,1,22.779976,75.862969
TR-0408,Pune,Maharashtra,R-006,Train,East,North,566,High,969,Low,50,9,11.76,50.69,Clear,2026-08-05 11:48:00,0,Delayed,Source,1,18.531028,73.912624
TR-0030,Nagpur,Maharashtra,R-006,Auto,West,East,,,,High,,,,,Hazy,2026-02-28 12:05:00,,,Destination,2,21.176046,79.15378
TR-0059,Surat,Gujarat,R-006,E-Rickshaw,South,West,,,,High,,,,,Hazy,2026-02-10 17:11:00,,,Destination,2,21.143576,72.762812
TR-0144,Visakhapatnam,Andhra Pradesh,R-006,Auto,Central,East,,,,High,,,,,Hazy,2026-04-07 21:36:00,,,Destination,2,17.67487,83.272842
TR-0151,Bengaluru,Karnataka,R-006,Metro,West,Central,,,,Moderate,,,,,Rain,2026-04-26 16:44:00,,,Destination,2,12.967259,77.609184
TR-0179,Nagpur,Maharashtra,R-006,Train,East,Central,,,,Moderate,,,,,Hazy,2026-07-20 04:09:00,,,Destination,2,21.148228,79.107782
TR-0228,Nagpur,Maharashtra,R-006,Auto,East,South,,,,High,,,,,Hazy,2026-06-29 21:29:00,,,Destination,2,21.076648,79.080267
TR-0347,Visakhapatnam,Andhra Pradesh,R-006,Bus,North,West,,,,Moderate,,,,,Cloudy,2026-06-26 17:00:00,,,Destination,2,17.664819,83.182979
TR-0387,Indore,Madhya Pradesh,R-006,Train,North,West,,,,High,,,,,Hazy,2026-05-28 12:39:00,,,Destination,2,22.717454,75.793122
TR-0408,Pune,Maharashtra,R-006,Train,East,North,,,,Low,,,,,Clear,2026-08-05 11:48:00,,,Destination,2,18.582514,73.883727
TR-0295,Nagpur,Maharashtra,R-007,Metro,North,West,355,High,1057,Moderate,31,21,65.39,27.31,Cloudy,2026-07-31 01:48:00,0,Delayed,Source,1,21.179998,79.100858
TR-0364,Indore,Madhya Pradesh,R-007,Bus,Central,East,464,Low,68,High,21,25,64.27,8.14,Rain,2026-04-12 15:01:00,0,Delayed,Source,1,22.720609,75.850493
TR-0365,Coimbatore,Tamil Nadu,R-007,Bus,West,Central,534,Low,69,Moderate,40,28,41.68,27.59,Clear,2026-04-16 12:14:00,0,Delayed,Source,1,10.997506,76.896164
TR-0413,Hyderabad,Telangana,R-007,Bus,South,West,587,Low,73,High,25,15,48.3,24.15,Cloudy,2026-06-03 21:18:00,0,Delayed,Source,1,17.32736,78.475171
TR-0425,Bengaluru,Karnataka,R-007,Auto,East,West,152,High,3,High,24,30,30.24,9.21,Hazy,2026-04-15 03:35:00,0,Delayed,Source,1,12.987075,77.613064
TR-0430,Hyderabad,Telangana,R-007,E-Rickshaw,Central,West,773,Medium,5,Low,53,7,83.15,41.56,Cloudy,2026-07-18 20:52:00,0,Delayed,Source,1,17.384539,78.505078
TR-0442,Delhi,Delhi,R-007,Metro,East,North,226,Low,868,High,21,28,28.06,20.8,Hazy,2026-03-17 13:47:00,0,Delayed,Source,1,28.623372,77.259914
TR-0295,Nagpur,Maharashtra,R-007,Metro,North,West,,,,Moderate,,,,,Cloudy,2026-07-31 01:48:00,,,Destination,2,21.136837,79.028111
TR-0364,Indore,Madhya Pradesh,R-007,Bus,Central,East,,,,High,,,,,Rain,2026-04-12 15:01:00,,,Destination,2,22.715607,75.919821
TR-0365,Coimbatore,Tamil Nadu,R-007,Bus,West,Central,,,,Moderate,,,,,Clear,2026-04-16 12:14:00,,,Destination,2,11.045503,76.946591
TR-0413,Hyderabad,Telangana,R-007,Bus,South,West,,,,High,,,,,Cloudy,2026-06-03 21:18:00,,,Destination,2,17.376232,78.428126
TR-0425,Bengaluru,Karnataka,R-007,Auto,East,West,,,,High,,,,,Hazy,2026-04-15 03:35:00,,,Destination,2,12.97386,77.556836
TR-0430,Hyderabad,Telangana,R-007,E-Rickshaw,Central,West,,,,Low,,,,,Cloudy,2026-07-18 20:52:00,,,Destination,2,17.398216,78.441371
