Date,Hour,Station,Latitude,Longitude,Trip_Count,Available_Bikes,Avg_Trip_Duration_Min,Station_Utilisation_Pct,Avg_Temperature_C,Vehicle_Type
2026-01-01,6,Central Station,13.0827,80.2707,8,13,27.6,32.5,30.5,Bike
2026-01-01,6,Guindy Station,13.0067,80.2206,5,13,20.6,24.9,27.9,Bike
2026-01-01,6,T Nagar Station,13.0418,80.2341,14,13,21.0,50.6,29.0,Bike
2026-01-01,6,Adyar Station,13.0012,80.2565,24,4,26.8,87.8,32.0,Bike
2026-01-01,6,Velachery Station,12.9815,80.218,16,24,30.6,36.3,27.2,Bike
2026-01-01,6,Anna Nagar Station,13.085,80.2101,12,18,24.0,34.0,28.3,Bike
2026-01-01,6,Egmore Station,13.0732,80.2609,11,22,14.2,34.4,32.1,Car
2026-01-01,6,Tambaram Station,12.9249,80.1,14,11,42.6,58.4,31.5,Bike
2026-01-01,6,Porur Station,13.038,80.1565,16,4,21.3,79.8,28.7,Bike
2026-01-01,6,OMR Station,12.9352,80.23,15,4,30.5,82.4,30.0,Bike
2026-01-01,7,Central Station,13.0827,80.2707,18,3,32.2,84.8,28.3,Bike
2026-01-01,7,Guindy Station,13.0067,80.2206,7,8,28.5,41.5,29.3,Bike
2026-01-01,7,T Nagar Station,13.0418,80.2341,7,19,29.5,43.8,26.7,Bike
2026-01-01,7,Adyar Station,13.0012,80.2565,17,9,22.0,78.6,26.4,Bike
2026-01-01,7,Velachery Station,12.9815,80.218,14,14,13.5,58.1,32.0,Car
2026-01-01,7,Anna Nagar Station,13.085,80.2101,24,7,32.1,70.0,28.8,Bike
2026-01-01,7,Egmore Station,13.0732,80.2609,21,26,21.5,41.2,28.5,Bike
2026-01-01,7,Tambaram Station,12.9249,80.1,31,5,16.9,72.8,30.5,Bike
2026-01-01,7,Porur Station,13.038,80.1565,31,26,18.3,55.5,23.4,Bike
2026-01-01,7,OMR Station,12.9352,80.23,32,11,23.8,74.3,24.5,Bike
2026-01-01,8,Central Station,13.0827,80.2707,42,19,26.4,71.2,28.7,Bike
2026-01-01,8,Guindy Station,13.0067,80.2206,6,11,34.4,39.1,26.1,Bike
2026-01-01,8,T Nagar Station,13.0418,80.2341,39,17,33.7,69.4,30.2,Car
2026-01-01,8,Adyar Station,13.0012,80.2565,39,3,30.5,96.8,30.8,Bike
2026-01-01,8,Velachery Station,12.9815,80.218,19,21,21.4,43.9,28.7,Car
2026-01-01,8,Anna Nagar Station,13.085,80.2101,29,0,22.9,100.0,32.1,Bike
2026-01-01,8,Egmore Station,13.0732,80.2609,33,24,15.4,58.0,30.6,Bike
2026-01-01,8,Tambaram Station,12.9249,80.1,15,12,29.5,60.4,26.3,Car
2026-01-01,8,Porur Station,13.038,80.1565,49,18,26.4,76.4,32.8,Bike
2026-01-01,8,OMR Station,12.9352,80.23,42,14,19.0,75.9,25.8,Bike
2026-01-01,9,Central Station,13.0827,80.2707,41,12,21.3,81.2,33.3,Car
2026-01-01,9,Guindy Station,13.0067,80.2206,44,23,10.8,58.8,27.2,Bike
2026-01-01,9,T Nagar Station,13.0418,80.2341,23,9,26.9,77.9,31.1,Bike
2026-01-01,9,Adyar Station,13.0012,80.2565,33,14,23.8,64.9,30.9,Car
2026-01-01,9,Velachery Station,12.9815,80.218,36,7,29.0,83.1,30.5,Bike
2026-01-01,9,Anna Nagar Station,13.085,80.2101,14,4,19.8,73.1,28.0,Bike
2026-01-01,9,Egmore Station,13.0732,80.2609,14,18,25.1,49.0,29.7,Bike
2026-01-01,9,Tambaram Station,12.9249,80.1,16,10,18.9,66.1,27.7,Car
2026-01-01,9,Porur Station,13.038,80.1565,31,7,27.5,86.3,31.5,Car
2026-01-01,9,OMR Station,12.9352,80.23,36,21,22.3,57.2,33.1,Bike
2026-01-01,10,Central Station,13.0827,80.2707,28,1,21.7,93.8,31.8,Car
2026-01-01,10,Guindy Station,13.0067,80.2206,28,23,36.9,54.4,28.0,Bike
2026-01-01,10,T Nagar Station,13.0418,80.2341,23,2,19.3,90.3,28.5,Bike
2026-01-01,10,Adyar Station,13.0012,80.2565,32,4,39.7,82.3,35.0,Bike
2026-01-01,10,Velachery Station,12.9815,80.218,28,15,22.2,63.9,35.1,Bike
2026-01-01,10,Anna Nagar Station,13.085,80.2101,28,5,31.7,93.0,25.2,Bike
2026-01-01,10,Egmore Station,13.0732,80.2609,12,28,29.3,25.1,30.9,Bike
2026-01-01,10,Tambaram Station,12.9249,80.1,12,31,21.3,30.9,32.6,Bike
2026-01-01,10,Porur Station,13.038,80.1565,19,7,10.3,78.8,30.8,Bike
2026-01-01,10,OMR Station,12.9352,80.23,25,17,19.6,53.7,34.2,Bike
2026-01-01,11,Central Station,13.0827,80.2707,6,31,12.0,21.0,33.9,Car
